id,year,Department,Department_Compulsory,Department_Electuve,Other_Department_Electuve,General_Compulsory,General_Elective
0,107,工業工程與系統管理學系,77,14,9,16,12
1,107,化學工程學系,80,13,9,16,12
2,107,航太與系統工程學系,80,14,9,16,12
3,107,纖維與複合材料學系,80,17,9,16,12
4,107,機械與電腦輔助工程學系,80,17,9,16,12
5,107,精密系統設計學士學位學程,80,17,9,16,12
6,107,企業管理學系,68,21,9,16,12
7,107,合作經濟暨社會事業經營學系,73,12,9,16,12
8,107,財稅學系,79,12,9,16,12
9,107,國際經營與貿易學系,68,23,9,16,12
10,107,國際經營與貿易學系國際企業管理全英語學士班,61,24,9,16,12
11,107,會計學系,77,14,9,16,12
12,107,經濟學系,66,18,9,16,12
13,107,統計學系,70,9,9,16,12
14,107,行銷學系,67,24,9,16,12
15,107,風險管理與保險學系,73,0,9,16,12
16,107,財務金融學系,80,0,9,16,12
17,107,財務工程與精算學士學位學程,69,0,9,16,12
18,107,光電科學與工程學系,66,26,9,16,12
19,107,應用數學系,54,37,9,16,12
20,107,環境工程與科學學系,62,35,9,16,12
21,107,材料科學與工程學系,55,36,9,16,12
22,107,自動控制工程學系(光機電工程學程),71,21,9,16,12
23,107,自動控制工程學系(生醫工程學程),71,21,9,16,12
24,107,通訊工程學系,70,22,9,16,12
25,107,資訊工程學系,63,28,9,16,12
26,107,電子工程學系(IC設計學程),77,15,9,16,12
27,107,電子工程學系(半導體與電子元件學程),77,15,9,16,12
28,107,電機工程學系(光電工程學程),76,17,9,16,12
29,107,電機工程學系(電磁與能源工程學程),76,17,9,16,12
30,107,電機工程學系(電波工程學程),76,17,9,16,12
31,107,資電榮譽班,null,0,null,null,null
32,107,土木工程學系,62,35,9,16,12
33,107,水利工程與資源保育學系,65,32,9,16,12
34,107,土地管理學系,70,21,9,16,12
35,107,運輸與物流學系,75,22,9,16,12
36,107,都市計畫與空間資訊學系(空間資訊組),76,17,9,16,12
37,107,都市計畫與空間資訊學系(都市計畫組),79,14,9,16,12
38,107,中國文學系,57,39,9,16,12
39,107,外國語文學系,54,39,9,16,12
40,107,澳洲墨爾本皇家理工大學商學與創新雙學位學士學程,42,0,0,0,0
41,107,美國聖荷西州立大學商學大數據分析雙學士學位學程,31,0,0,0,0
42,107,美國普渡大學電機資訊雙學士學位學程,53,0,0,0,0
43,107,建築學士學位學程,90,29,9,16,12
44,107,建築專業學院學士班,39,0,0,0,0
45,107,室內設計學士學位學程,75,16,9,16,12
46,107,創新設計學士學位學程,67,24,9,16,12
47,107,國際生大一不分系,15,0,0,16,12
48,106,工業工程與系統管理學系,74,17,9,16,12
49,106,化學工程學系,80,13,9,16,12
50,106,航太與系統工程學系,80,14,9,16,12
51,106,纖維與複合材料學系,80,17,9,16,12
52,106,機械與電腦輔助工程學系,80,17,9,16,12
